IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP8,IP_PROP3,IP_PROP7,IP_PROP5,IP_PROP4,IP_PROP6,IC_GROUP0,IC_GROUP1,IC_GROUP2
209,4da2d1f8-5a7b-11e8-ba94-226e60c524e5,209,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ2_3,4da2d1f8-5a7b-11e8-ba94-226e60c524e5,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,,,,
210,8a3cd00c-5a7b-11e8-ba94-226e60c524e5,210,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ2_4,8a3cd00c-5a7b-11e8-ba94-226e60c524e5,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,,,,
211,0f9cf291-5a7c-11e8-ba94-226e60c524e5,211,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ2_5,0f9cf291-5a7c-11e8-ba94-226e60c524e5,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,,,,
212,1ffdaf5b-5a94-11e8-ba94-226e60c524e5,212,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ2_6,1ffdaf5b-5a94-11e8-ba94-226e60c524e5,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,,,,
213,4bc8340c-5a94-11e8-ba94-226e60c524e5,213,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ2_7,4bc8340c-5a94-11e8-ba94-226e60c524e5,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,,,,
214,7e1083d0-5a94-11e8-ba94-226e60c524e5,214,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ2_8,7e1083d0-5a94-11e8-ba94-226e60c524e5,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,,,,
215,595213dd-228c-11e6-9691-5cf3fc3b5be6,215,Y,,,,,text,,,text,,500,,КВАРТАЛ 155,595213dd-228c-11e6-9691-5cf3fc3b5be6,59:01:4410155:11 и 59:01:4410155:1,"Жилой дом со встроено-пристроенными помещениями и подземной автостоянкой, в Свердловском районе, квартал 155, ул. 25-го Октября, 59, строящийся с привлечением денежных средств Участника долевого строительства",Квартал Пермь,,,,
216,ed2cde4e-3b98-11e7-a09d-5cf3fc3b5be6,216,Y,,,,,text,,,text,,500,,Блок А на улице Сибирская,ed2cde4e-3b98-11e7-a09d-5cf3fc3b5be6,59:01:4410155:11 и 59:01:4410155:1,"Жилой дом со встроено-пристроенными помещениями и подземной автостоянкой, в Свердловском районе, квартал 155, ул. 25-го Октября, 59, строящийся с привлечением денежных средств Участника долевого строительства",Квартал Пермь,,,,
217,4dfbc241-5fca-11e7-bfd3-5cf3fc3b5be6,217,Y,,,,,text,,,text,,500,,Квартал 156 2 башня,4dfbc241-5fca-11e7-bfd3-5cf3fc3b5be6,"59:01:4410156:12, и 59:01:4410156:4","«Жилой дом со встроено-пристроенными помещениями и подземной автостоянкой, расположенный по адресу: Пермский край, город Пермь, квартал 156 в Свердловском районе города Перми»",Квартал Пермь,31 декабря 2018г,,,
218,84e032bf-0afd-11e7-8f35-5cf3fc3b5be6,218,Y,,,,,text,,,text,,500,,Квартал 156 3 башня,84e032bf-0afd-11e7-8f35-5cf3fc3b5be6,"59:01:4410156:12, и 59:01:4410156:4","«Жилой дом со встроено-пристроенными помещениями и подземной автостоянкой, расположенный по адресу: Пермский край, город Пермь, квартал 156 в Свердловском районе города Перми»",Квартал Пермь,31 декабря 2019г,,,
